Quarter,StoreId,State,Position,Market,ProdId,Product,Type,ReportId
2023-01-01,Los Angeles - Sunset Boulevard,California,West,Micro Market,1_Co,Amaretto,Coffee,JB578CJ
2023-04-01,Los Angeles - Sunset Boulevard,California,West,Micro Market,1_Co,Amaretto,Coffee,UZ650HV
2023-07-01,Los Angeles - Sunset Boulevard,California,West,Micro Market,1_Co,Amaretto,Coffee,VB278N7
2023-10-01,Los Angeles - Sunset Boulevard,,West,Small Market,1_Co,Amaretto,Coffee,TL8282Y
2023-01-01,Los Angeles - Hollywood Boulevard,California,West,Micro Market,1_Co,Amaretto,Coffee,FB512II
2023-04-01,Los Angeles - Hollywood Boulevard,California,West,Big Market,1_Co,Amaretto,Coffee,HX87172
2023-07-01,Los Angeles - Hollywood Boulevard,California,West,Medium Market,1_Co,Amaretto,Coffee,OT3801E
2023-10-01,Los Angeles - Hollywood Boulevard,California,West,Small Market,1_Co,Amaretto,Coffee,PG10018
2023-01-01,Los Angeles - Rodeo Drive,California,West,Big Market,1_Co,Amaretto,Coffee,BM5695N
2023-04-01,Los Angeles - Rodeo Drive,California,West,Big Market,1_Co,Amaretto,Coffee,VP068F8
2023-07-01,Los Angeles - Rodeo Drive,California,West,Small Market,1_Co,Amaretto,,FP1369X
2023-10-01,Los Angeles - Rodeo Drive,California,West,Medium Market,1_Co,Amaretto,Coffee,SI353RZ
2023-01-01,Los Angeles - Wilshire Boulevard,,West,Medium Market,1_Co,Amaretto,Coffee,WG214KL
2023-04-01,Los Angeles - Wilshire Boulevard,California,West,,1_Co,,Coffee,GL2837X
2023-07-01,Los Angeles - Wilshire Boulevard,California,West,Micro Market,1_Co,Amaretto,Coffee,KE883VV
2023-10-01,Los Angeles - Wilshire Boulevard,California,West,Small Market,1_Co,Amaretto,Coffee,AA370ST
2023-01-01,Los Angeles - Melrose Avenue,California,West,Small Market,1_Co,Amaretto,Coffee,PG144Y0
2023-04-01,Los Angeles - Melrose Avenue,California,West,Small Market,1_Co,Amaretto,Coffee,XU74274
2023-07-01,Los Angeles - Melrose Avenue,California,West,Micro Market,1_Co,Amaretto,Coffee,YK777JO
2023-10-01,Los Angeles - Melrose Avenue,California,West,Micro Market,1_Co,Amaretto,Coffee,WX5015J
2023-01-01,Los Angeles - Santa Monica Boulevard,California,West,Medium Market,1_Co,Amaretto,Coffee,KM375T4
2023-04-01,Los Angeles - Santa Monica Boulevard,California,West,Micro Market,1_Co,,Coffee,VJ603OM
