ReportId,Profit,Sales,Margin,COGS,Marketing,Inventory,Expected Profit,Expected Sales,Expected Margin,Expected COGS,Total Expenses
JB578CJ,-295.0,95.0,0.0,125.0,126.0,1912.0,-220.81,71.0,0.0,179.0,
UZ650HV,-84.0,106.0,0.0,127.0,40.0,1215.0,-102.7,130.0,0.0,160.0,167.0
VB278N7,-138.0,,0.0,154.0,49.0,1832.0,-159.0,100.0,0.0,190.0,203.0
TL8282Y,-3.0,,41.36,95.0,30.0,608.0,-3.6,180.0,38.89,110.0,125.0
FB512II,-131.0,109.0,0.0,127.0,40.0,2947.0,-144.0,120.0,,150.0,167.0
HX87172,419.0,833.0,60.62,328.0,139.0,3601.0,488.5,977.0,56.4,426.0,467.0
OT3801E,136.0,218.0,,105.0,76.0,980.0,179.18,289.0,70.93,84.0,181.0
PG10018,-4.0,164.0,56.1,72.0,21.0,380.0,-4.86,243.0,90.95,22.0,93.0
BM5695N,221.0,529.0,52.93,249.0,73.0,914.0,288.53999999999996,687.0,51.24,335.0,322.0
VP068F8,452.0,520.0,85.38,76.0,14.0,-1888.0,438.48,504.0,87.1,65.0,90.0
FP1369X,-4.0,164.0,56.1,72.0,21.0,380.0,-4.86,243.0,90.95,22.0,93.0
SI353RZ,88.0,262.0,65.65,90.0,82.0,-21.0,98.94000000000001,291.0,68.04,93.0,172.0
WG214KL,30.0,254.0,55.51,113.0,93.0,622.0,33.96,283.0,69.61,86.0,206.0
GL2837X,0.0,,,24.0,0.0,1135.0,,0.0,,30.0,24.0
KE883VV,21.0,97.0,0.0,100.0,26.0,1761.0,29.04,132.0,33.33,88.0,126.0
AA370ST,77.0,183.0,59.56,74.0,33.0,296.0,67.62,161.0,55.9,71.0,107.0
PG144Y0,-16.0,171.0,56.14,75.0,78.0,-309.0,-26.73,,60.61,,153.0
XU74274,39.0,203.0,59.11,83.0,93.0,1049.0,36.29,191.0,48.69,98.0,176.0
YK777JO,-139.0,,0.0,154.0,,2105.0,-160.0,100.0,0.0,190.0,203.0
WX5015J,-113.0,117.0,0.0,123.0,39.0,964.0,,130.0,0.0,150.0,162.0
KM375T4,30.0,336.0,,135.0,105.0,1023.0,30.509999999999998,339.0,,,240.0
VJ603OM,-56.0,116.0,2.59,,36.0,2758.0,-62.4,130.0,0.0,130.0,149.0
RP3423U,-40.0,141.0,,104.0,33.0,685.0,-44.800000000000004,160.0,18.75,130.0,
ZS498KZ,-156.0,95.0,0.0,141.0,45.0,1514.0,-196.79999999999998,120.0,0.0,170.0,186.0
PC340YI,8.0,,44.79,90.0,39.0,928.0,6.1000000000000005,122.0,31.15,84.0,129.0
YO886RO,-190.0,86.0,0.0,154.0,49.0,,,100.0,0.0,190.0,
SD49411,,833.0,60.62,328.0,139.0,3601.0,488.5,977.0,56.4,426.0,467.0
FP864J0,-113.0,96.0,0.0,141.0,45.0,1514.0,-141.6,120.0,0.0,170.0,186.0
JZ92612,294.0,569.0,58.52,236.0,71.0,1637.0,303.68,584.0,50.0,292.0,307.0
VC069B2,-74.0,,,122.0,39.0,,-88.4,130.0,0.0,150.0,161.0
WQ961D0,-110.0,116.0,0.0,122.0,39.0,2378.0,-123.5,130.0,0.0,150.0,161.0
NI002DY,,127.0,64.57,45.0,41.0,403.0,24.65,85.0,70.59,25.0,86.0
MV511OC,-116.0,105.0,0.0,127.0,40.0,,-143.0,130.0,0.0,160.0,167.0
HH6454G,-251.0,77.0,0.0,130.0,113.0,2201.0,-273.84,84.0,0.0,105.0,243.0
JQ289C1,37.0,127.0,64.57,45.0,41.0,403.0,24.65,85.0,,25.0,86.0
QZ926ZI,-76.0,110.0,0.0,123.0,39.0,964.0,-89.69999999999999,130.0,0.0,150.0,162.0
GS932CD,-74.0,109.0,0.0,122.0,39.0,2555.0,-102.00000000000001,150.0,0.0,170.0,161.0
HF714CB,,,0.0,154.0,49.0,2105.0,-223.0,,0.0,190.0,
LI886EI,-27.0,132.0,21.21,104.0,33.0,685.0,-32.0,160.0,18.75,130.0,137.0
GE230DW,,116.0,0.0,122.0,39.0,2555.0,-142.5,150.0,0.0,170.0,161.0
DQ657HK,-2.0,145.0,34.48,95.0,30.0,608.0,-1.8,180.0,38.89,110.0,125.0
UP8290P,-61.0,133.0,18.05,109.0,34.0,796.0,,150.0,13.33,130.0,143.0
KP8179D,-83.0,,8.87,113.0,36.0,2758.0,-87.10000000000001,130.0,0.0,130.0,149.0
NO592D4,-41.0,125.0,12.8,109.0,34.0,796.0,-49.5,150.0,13.33,130.0,143.0
HW899BC,-88.0,102.0,0.0,127.0,40.0,2947.0,-103.2,,0.0,,167.0
UL920GM,-7.0,257.0,66.15,87.0,32.0,-37.0,-3.06,102.0,17.65,84.0,119.0
FD4642O,72.0,141.0,71.63,40.0,38.0,,61.2,120.0,79.17,25.0,78.0
TR09988,,280.0,39.29,170.0,42.0,695.0,88.0,,59.09,144.0,212.0
UI422L0,114.0,117.0,60.68,46.0,37.0,,,95.0,55.79,42.0,83.0
GB100GH,50.0,317.0,58.04,133.0,116.0,,54.88,343.0,62.1,130.0,249.0
YH365IL,-17.0,75.0,0.0,134.0,,2105.0,-56.81,247.0,17.0,205.0,186.0
FC357NY,419.0,833.0,,328.0,139.0,3601.0,488.5,977.0,56.4,426.0,467.0
QY005QB,210.0,483.0,54.24,221.0,74.0,1307.0,206.4,480.0,60.42,190.0,295.0
MS38386,,218.0,51.83,105.0,76.0,980.0,179.18,289.0,70.93,84.0,181.0
XE2477B,-8.0,215.0,66.51,72.0,84.0,423.0,-8.120000000000001,203.0,55.17,91.0,156.0
UF667WP,88.0,262.0,65.65,90.0,82.0,-21.0,98.94000000000001,291.0,68.04,93.0,172.0
WI948VO,114.0,117.0,60.68,,37.0,517.0,92.14999999999999,95.0,55.79,42.0,83.0
EE789S6,-72.0,91.0,97.8,2.0,5.0,571.0,-86.9,110.0,56.36,48.0,7.0
IL488SR,68.0,193.0,47.15,102.0,24.0,934.0,56.699999999999996,,58.02,68.0,126.0
DN393I9,-144.0,153.0,0.0,210.0,65.0,2439.0,-156.04,166.0,0.0,221.0,275.0
FA250S6,262.0,548.0,58.76,226.0,71.0,1387.0,249.12,519.0,53.37,242.0,297.0
EY3448E,0.0,0.0,,24.0,,1135.0,,0.0,,30.0,24.0
JM900HV,-490.0,95.0,0.0,275.0,110.0,5243.0,-0.0,0.0,,158.0,385.0
VX5076Q,12.0,65.0,1.54,,19.0,348.0,16.56,92.0,60.87,36.0,83.0
BM046VU,122.0,485.0,50.93,238.0,54.0,1593.0,92.25,369.0,57.99,,292.0
KG7847V,7.0,128.0,50.0,64.0,54.0,264.0,7.0,140.0,67.86,45.0,118.0
DI036HK,-366.0,49.0,0.0,278.0,93.0,5193.0,-7.47,1.0,0.0,209.0,371.0
LE635PL,-4.0,164.0,,,21.0,,-4.86,243.0,90.95,22.0,93.0
UY52982,,268.0,47.76,140.0,36.0,533.0,85.56,186.0,44.62,103.0,176.0
GQ097PY,37.0,127.0,64.57,45.0,41.0,403.0,24.65,85.0,70.59,,86.0
OL7861D,33.0,217.0,62.21,82.0,29.0,153.0,28.799999999999997,192.0,48.96,98.0,111.0
VO3279U,,,55.53,229.0,74.0,1420.0,178.56,496.0,51.01,243.0,303.0
MR614HB,39.0,48.0,,46.0,14.0,847.0,65.61,81.0,66.67,27.0,60.0
VQ23027,419.0,833.0,60.62,328.0,139.0,3601.0,488.5,977.0,56.4,426.0,467.0
HS026FA,-218.0,94.0,0.0,123.0,,1929.0,-41.76,18.0,0.0,92.0,241.0
UN875CG,220.0,507.0,47.34,267.0,77.0,1343.0,237.35999999999999,552.0,56.88,238.0,344.0
AJ253E0,39.0,48.0,4.17,46.0,,847.0,65.61,,,27.0,60.0
ZQ741DH,-7.0,257.0,66.15,87.0,32.0,,-3.06,102.0,17.65,84.0,119.0
IZ082G1,-205.0,59.0,0.0,149.0,117.0,953.0,-291.48,84.0,0.0,,266.0
WJ771YY,469.0,645.0,,63.0,19.0,-1738.0,359.15999999999997,492.0,,54.0,82.0
KP6689X,0.0,0.0,,24.0,0.0,1135.0,,0.0,,30.0,24.0
AK733KF,136.0,218.0,51.83,105.0,76.0,980.0,179.18,289.0,70.93,84.0,181.0
HM021W8,105.0,226.0,55.75,100.0,87.0,492.0,79.58,173.0,50.87,85.0,187.0
JO902ZQ,-366.0,49.0,0.0,278.0,93.0,5193.0,-7.47,1.0,0.0,209.0,371.0
